word,definitionEnglish,definitionNative,exampleSentence1,exampleSentence1English,exampleSentence2,exampleSentence2English,dialect,pos,domain
enyikiranganiza,We all came out with one decision.,Itwena hamu tukaikiranganiza.,Itwena hamu tukaikiranganiza.,We all came out with one decision.,,,Both,,
Omulingo,Every music genre has it`s rules and styles.,Buli mulingo gwebizina gugira enkora yagwo nebiragiro.,Buli mulingo gwebizina gugira enkora yagwo nebiragiro.,Every music genre has it`s rules and styles.,,,Both,,
ibaale limu,that record is known as one of the best albums of the decade,obwabaire hobugenyi ha mabaalege goona azinireho ibaale limu,obwabaire hobugenyi ha mabaalege goona azinireho ibaale limu,that record is known as one of the best albums of the decade,,,Both,,
ibaale rwiragura,I love vinyl because it stores many tracks.,Ibaale rwiragura ligira ebizina bingi nikyo ndigondeza.,Ibaale rwiragura ligira ebizina bingi nikyo ndigondeza.,I love vinyl because it stores many tracks.,,,Both,,
Omuzini,The dancer displayed all technics and people appreciated.,Akooleka emiringoye yoona mukuzina abantu basiima.,Akooleka emiringoye yoona mukuzina abantu basiima.,The dancer displayed all technics and people appreciated.,,,Both,,
omuzaano n`ebizina ebicookerwe,The opera singers used powerful voices in their performance.,Abaziini bakakozesa amaraka gamaani ha omuzaano n`ebizina ebicookerwe.,Abaziini bakakozesa amaraka gamaani ha omuzaano n`ebizina ebicookerwe.,The opera singers used powerful voices in their performance.,,,Both,,
emyaturre omubwingi,The polyphony of Tooro music is traditional.,Emyaturre yabazini batooro yenzaarwa.,Emyaturre yabazini batooro yenzaarwa.,The polyphony of Tooro music is traditional.,,,Both,,
kurangirra nasigikiira,the narrator presents depending onmunungi,omugambinzi asigikinne haru munungi,omugambinzi asigikinne haru munungi,the narrator presents depending onmunungi,,,Both,,
Mazina nyaruganikyo,The ballet explained everything.,Amazina nyaruganikyo gakatusoborra byoona.,Amazina nyaruganikyo gakatusoborra byoona.,The ballet explained everything.,,,Both,,
Omuzaano ogwobujune,The audience shed tears when the tragedy ended.,Abantu bakarra muno omuzaano ogwobujune obugwahoire.,Abantu bakarra muno omuzaano ogwobujune obugwahoire.,The audience shed tears when the tragedy ended.,,,Both,,
ahuliriza busimba,He listens to the music by streaming.,Ebizina bye aihuliriza busimba kuruga ha'isorolezo ry'ebyokurrangana.,Ebizina bye aihuliriza busimba kuruga ha'isorolezo ry'ebyokurrangana.,He listens to the music by streaming.,,,Both,,
enkuratana y'ebizina,The playlist of her songs was long.,Enkuratana yebibizinabye ekaba eraihire muno.,Enkuratana yebibizinabye ekaba eraihire muno.,The playlist of her songs was long.,,,Both,,
ebigambo byekizizna.,The teacher instructed the learners to cram the lyrics of the song.,Omusomesa akaragira abeegi kukwaata mumutwe ebigambo by'ekizina.,Omusomesa akaragira abeegi kukwaata mumutwe ebigambo by'ekizina.,The teacher instructed the learners to cram the lyrics of the song.,,,Both,,
aga bakoleya,K-pop is a popular music genre fromKorea,K-pop mazina marungi agaruga kolea.,K-pop mazina marungi agaruga kolea.,K-pop is a popular music genre fromKorea,,,Both,,
Ekitontome Nyaikuminaina,The sonnet he presented touched their hearts.,Ekitontome Nyaikuminaina kibakwata hamutima,Ekitontome Nyaikuminaina kibakwata hamutima,The sonnet he presented touched their hearts.,,,Both,,
Ekitontome ky`nyabusatu,He presented a haiku about rivers.,Akabaza ekitontome ky`enyabasatu kikaba nikikwataho kugera kw`amaizi.,Akabaza ekitontome ky`enyabasatu kikaba nikikwataho kugera kw`amaizi.,He presented a haiku about rivers.,,,Both,,
Ekitontome ky`ebyahwaireho,The old man presented an epic.,musaija mukuro akaza Ekitontome ky`ebyahwaireho.,musaija mukuro akaza Ekitontome ky`ebyahwaireho.,The old man presented an epic.,,,Both,,
Ekijaguzo,There is a big festival every year in the city.,Bulimwaka habayo ekijaguzo kikoto mu rubuga.,Bulimwaka habayo ekijaguzo kikoto mu rubuga.,There is a big festival every year in the city.,,,Both,,
idipa,handcover book ar longlasting,idipa engumune niririnda ekitabukurungi,idipa engumune niririnda ekitabukurungi,handcover book ar longlasting,,,Both,,
Ekijaguzo kyebizina,"On the day of the music festivals, many people gather to support their teams.",hakiro kyekijaguzo kyebizina abantu baingi besoroza kuhagira ebitebe byabo.,hakiro kyekijaguzo kyebizina abantu baingi besoroza kuhagira ebitebe byabo.,"On the day of the music festivals, many people gather to support their teams.",,,Both,,
Ekitontome Nyaitaano,He presented a limerick and people burst into laughter.,Akabaza Ekitontome Nyaitaano kyasekesa abantu muno.,Akabaza Ekitontome Nyaitaano kyasekesa abantu muno.,He presented a limerick and people burst into laughter.,,,Both,,
nyowe itwe,"I was about to laugh yesterday,we were happy to you","mbaire ndihaihi kuseka,tusemenwe kukutagaga","mbaire ndihaihi kuseka,tusemenwe kukutagaga","I was about to laugh yesterday,we were happy to you",,,Both,,
orukaara,Each stanza of the poem was flowing well.,buli rukaara rwekitontome rukaba niruseyeya kurungi,buli rukaara rwekitontome rukaba niruseyeya kurungi,Each stanza of the poem was flowing well.,,,Both,,
it kintu,he/ she is dancing/they ar dancing,nazina/ nibazina,nazina/ nibazina,he/ she is dancing/they ar dancing,,,Both,,
kuhandikisa,We registered our names.,Tuhandikisa mabara gaitu.,Tuhandikisa mabara gaitu.,We registered our names.,,,Both,,
omuzaano,The play was about nature.,omuzaano gukwasireho ebyobuhangwa.,omuzaano gukwasireho ebyobuhangwa.,The play was about nature.,,,Both,,
Enkuyanja,The concert had a very large crowd.,Ekinyumyo kibairweemu abantu enkuyanja.,Ekinyumyo kibairweemu abantu enkuyanja.,The concert had a very large crowd.,,,Both,,
amazina g'ababiri,When the party was about to end all people danced in pairs.,Obugenyi obubwali haihi kuhwa abazini bazinababiri babiri.,Obugenyi obubwali haihi kuhwa abazini bazinababiri babiri.,When the party was about to end all people danced in pairs.,,,Both,,
Omusagiki kaswa,The football fan cried when his team lost.,Omusagiki kaswa owomupiira alizirege abakitebekye obubasingirwe.,Omusagiki kaswa owomupiira alizirege abakitebekye obubasingirwe.,The football fan cried when his team lost.,,,Both,,
ekizina kimu,the realesed one single last week,omuzini akaturu kya ekizina kimulimu sabbiti,omuzini akaturu kya ekizina kimulimu sabbiti,the realesed one single last week,,,Both,,
Empaka z'amazina.,"Due to frequent practice, he excelled in the dancing competition.","Habwokuikara nayemanyiiza, empaka z'amazina nuwe yazisingire.","Habwokuikara nayemanyiiza, empaka z'amazina nuwe yazisingire.","Due to frequent practice, he excelled in the dancing competition.",,,Both,,
Enyongezo,"When the competitions were done, the fans asked for an encore.",Empaka obuzihwaire abasagiki basaba enyongezo.,Empaka obuzihwaire abasagiki basaba enyongezo.,"When the competitions were done, the fans asked for an encore.",,,Both,,
amazina amatongole,The ballroom dance is performed with a partner and has strict rules.,Amazina ganu amatongole bagazina babiri babiri kandi gaina ebiragiro byaago.,Amazina ganu amatongole bagazina babiri babiri kandi gaina ebiragiro byaago.,The ballroom dance is performed with a partner and has strict rules.,,,Both,,
amazima g'enzaarwa,On the school's cultural gala dances from different cultures were performed.,Hamwoleko gwamazina genzaarwa buli ihanga likooleka ebyo waaburyo.,Hamwoleko gwamazina genzaarwa buli ihanga likooleka ebyo waaburyo.,On the school's cultural gala dances from different cultures were performed.,,,Both,,
Ekisiika kyokwemanyiiza.,They go to the studio regularly inorder to master their items.,Emizaano yabo erugamu kurungi habwokuba ekisiika kyokwemanyiiza bakikozesa muno.,Emizaano yabo erugamu kurungi habwokuba ekisiika kyokwemanyiiza bakikozesa muno.,They go to the studio regularly inorder to master their items.,,,Both,,
ekitebe kyokucekeca,the dance troupe performed at the cultural festival,ekitebe kyokucekeca nakyo kibairenge mu mukoro eyenzaarwa,ekitebe kyokucekeca nakyo kibairenge mu mukoro eyenzaarwa,the dance troupe performed at the cultural festival,,,Both,,
Ebizina ebicookerwe,Classic music is calm and relaxing.,Ebizina ebicookerwe bigira akahooho kandi bihumuza.,Ebizina ebicookerwe bigira akahooho kandi bihumuza.,Classic music is calm and relaxing.,,,Both,,
orutambi,he presented one track from the album,omwoojo oli akakora orutambi rwebizina ikumi,omwoojo oli akakora orutambi rwebizina ikumi,he presented one track from the album,,,Both,,
Izaaniro,At the end of the play the theatre lights dimmed and people banged into each other.,"Hakumaliira kwomuzaano, etaara z'omwiizaaniro zikarugaho abantu bahumirana.","Hakumaliira kwomuzaano, etaara z'omwiizaaniro zikarugaho abantu bahumirana.",At the end of the play the theatre lights dimmed and people banged into each other.,,,Both,,
orutambi rwigatiirwe,A compact disc is very handy because it stores many tracks.,Orutambi orwigatiire nurwo ngonza habwokuba rugendaho ebizina bingi.,Orutambi orwigatiire nurwo ngonza habwokuba rugendaho ebizina bingi.,A compact disc is very handy because it stores many tracks.,,,Both,,
Emizaano y'aharutuuti,The school play was empowerful drama about friendship and betrayal.,Ab'isomero bakazaano omuzaano gw'amani ogwabazaahonga obunywaani n'obugobya.,Ab'isomero bakazaano omuzaano gw'amani ogwabazaahonga obunywaani n'obugobya.,The school play was empowerful drama about friendship and betrayal.,,,Both,,
kuiha ha'isoroleezo ry'ebyokuhurra,I got many videos as digital download so i could watch it anytime.,"Ebisisani nkabiiha haisoroleezo ryebyokuhuurrangana, nibata hasimu yange nimbitaho nambere nkagondiize.","Ebisisani nkabiiha haisoroleezo ryebyokuhuurrangana, nibata hasimu yange nimbitaho nambere nkagondiize.",I got many videos as digital download so i could watch it anytime.,,,Both,,
kurabamu/ kusemezaamu,he first editted his speech before presenting it,akabanza kusemezagamu orubazorwe atakarubalize.,akabanza kusemezagamu orubazorwe atakarubalize.,he first editted his speech before presenting it,,,Both,,
Akanyumyo,He got a gig and he did so well.,Akatungayo akanyumyo yakakora kurungi.,Akatungayo akanyumyo yakakora kurungi.,He got a gig and he did so well.,,,Both,,
kusomamu,he proofed her essay before submitting it,akabanza yasomamu orubazoorwe atakaruhairenomusomesa,akabanza yasomamu orubazoorwe atakaruhairenomusomesa,he proofed her essay before submitting it,,,Both,,
amazina g'emirwa,They celebrated the birth of twins by dancing Ijanja dance.,Obubazaire abaingi bakaguruka ijanjo agamu ha mazina g'emirwa.,Obubazaire abaingi bakaguruka ijanjo agamu ha mazina g'emirwa.,They celebrated the birth of twins by dancing Ijanja dance.,,,Both,,
Ebinyumyo,He went for 6 tours in 6 cities and people were very happy.,Akagenda mibunyumyo 6 mubibuga 6 abantu basemererwa.,Akagenda mibunyumyo 6 mubibuga 6 abantu basemererwa.,He went for 6 tours in 6 cities and people were very happy.,,,Both,,
kuturukya n'ekyoma,she needed to print many copies of her reciept book,akaba neyenda kutukya obutabubwingi nekyoma,akaba neyenda kutukya obutabubwingi nekyoma,she needed to print many copies of her reciept book,,,Both,,
Kwita obukooko,Fungicides are used to kill fungus.,Ebikozesibwa kwita obukooko mubimera.,Ebikozesibwa kwita obukooko mubimera.,Fungicides are used to kill fungus.,,,Both,,
Ebiruga omu bimera,"At times, some plants have organic pesticides.",Ebimera obundi nabyo byetambira byoka.,Ebimera obundi nabyo byetambira byoka.,"At times, some plants have organic pesticides.",,,Both,,
kwita obuhuukuzi,Chemical or biological agents used to kill rodents.,Ebikozesebwa kwita ebihuu-kuzi,Ebikozesebwa kwita ebihuu-kuzi,Chemical or biological agents used to kill rodents.,,,Both,,
ekyekiro,she cooked a delicious dinner for her family,akacumba ekyekiro kinuzire muno,akacumba ekyekiro kinuzire muno,she cooked a delicious dinner for her family,,,Both,,
Orutuuti,The audience watched all the action of the players on stage.,Buli musungi akaba naarora abazaani ha rutuuti.,Buli musungi akaba naarora abazaani ha rutuuti.,The audience watched all the action of the players on stage.,,,Both,,
agabajapan or jeporu,jepop music anganates from japan is an exciting dance.,"jepopu,mazinaga japanu kandi gabasemeza muno","jepopu,mazinaga japanu kandi gabasemeza muno",jepop music anganates from japan is an exciting dance.,,,Both,,
Kwoleka,"On the day of their performance, they really impressed the audience.",Hakiro kyokwoleka emizaano yabo bakasemeza muno abasungi.,Hakiro kyokwoleka emizaano yabo bakasemeza muno abasungi.,"On the day of their performance, they really impressed the audience.",,,Both,,
amazina gemikoro yokuseemererwa,The runyege dance is performed on the social occassions.,Orunyege mazina gokusemererwa.,Orunyege mazina gokusemererwa.,The runyege dance is performed on the social occassions.,,,Both,,
amabaale,my brother listens to the same album everyday,mugenzi wange ahuliraza amabaale agarukusisana buli kiro,mugenzi wange ahuliraza amabaale agarukusisana buli kiro,my brother listens to the same album everyday,,,Both,,
Kwooleka ebyokucekeca,"The day of dance performance, people were very happy.",Ha kiro kyokwoleka ebyokucekeca abasungi bakasemererwa.,Ha kiro kyokwoleka ebyokucekeca abasungi bakasemererwa.,"The day of dance performance, people were very happy.",,,Both,,
kidongo rujaara,The mbira produces a buzzing sound.,Akidongo rujaara kaleta iraka lirukujaara,Akidongo rujaara kaleta iraka lirukujaara,The mbira produces a buzzing sound.,,,Both,,
Kadongo rujaara,The kalimba is smaller than the mbira.,Akadongo rujaara kataito tikarukwingana kidongo rujaara.,Akadongo rujaara kataito tikarukwingana kidongo rujaara.,The kalimba is smaller than the mbira.,,,Both,,
amazina gokusibamu,he practiced locking inorder to improve on her speed,akataho muno kuzina nasibamu nukwo atunge kura hukya muno,akataho muno kuzina nasibamu nukwo atunge kura hukya muno,he practiced locking inorder to improve on her speed,,,Both,,
amazina g'abalikwira gura,traditional dance helps in cuiture preservation,amana gabarukwiragura agenzaarwa gaakonyera kulinda okuhangwa,amana gabarukwiragura agenzaarwa gaakonyera kulinda okuhangwa,traditional dance helps in cuiture preservation,,,Both,,
amazina agabarukwira gura agenzaaarwa,traditional african dances heip in passing down history,amazina g'enzigarwa gatujukiiya ebyaira,amazina g'enzigarwa gatujukiiya ebyaira,traditional african dances heip in passing down history,,,Both,,
migani,The rule of Bachwezi has a legend in Bunyor Kitara.,Obulemi bwa bacwezi omu Bunyoro Kitar egi eba migani yaitu aba kitara.,Obulemi bwa bacwezi omu Bunyoro Kitar egi eba migani yaitu aba kitara.,The rule of Bachwezi has a legend in Bunyor Kitara.,,,Both,,
Enjanjaba y`ebisoro,Today there is a class about veterinary services.,kirokinu haliyo omusomo ha njanjaba y`ebisoro.,kirokinu haliyo omusomo ha njanjaba y`ebisoro.,Today there is a class about veterinary services.,,,Both,,
Omufumu w`ebisoro,The veterinarian is coming to treat the cows.,Omufumu w`ebisoro aliyo naija kujanjaba ente.,Omufumu w`ebisoro aliyo naija kujanjaba ente.,The veterinarian is coming to treat the cows.,,,Both,,
omufumu w`ebisoro,The vet is so experienced.,omufumu w`ebisoro akugukire muno.,omufumu w`ebisoro akugukire muno.,The vet is so experienced.,,,Both,,
akamanyiso,A priest is an icon of his/her religion.,Nyakatagara aba akamanyiso k diiniye.,Nyakatagara aba akamanyiso k diiniye.,A priest is an icon of his/her religion.,,,Both,,
ekitongole kyabazini,the dance company which performed a beautiful show last night,ekitongole kyabazini kizininege kurunji ekiro,ekitongole kyabazini kizininege kurunji ekiro,the dance company which performed a beautiful show last night,,,Both,,
